Nationality,Death
Germany,356695
Hungary,300000
Italy,40929
Romania,300000
United Kingdom,34068
United States,27159
Croatia,966500
Bosnia and Herzegovina,966500
Serbia,966500
Montenegro,966500
"Macedonia, the former Yugoslav Republic of",966500
Kosovo,966500
Russian Federation,2823905
Belarus,2823905
Ukraine,2823905
Georgia,2823905
Uzbekistan,2823905
Armenia,2823905
Azerbaijan,2823905
Kazakhstan,2823905
Kyrgyzstan,2823905
"Moldova, Republic of",2823905
Tajikistan,2823905
Turkmenistan,2823905
