Nationality,Death
Albania,30000.0
Australia,40500.0
Austria,120000.0
Belgium,88000.0
Bosnia & Herzegovina,1027000.0
Brazil,2000.0
Bulgaria,25000.0
Canada,45500.0
China,15000000.0
Colombia,1250000.0
Croatia,1027000.0
Cuba,100.0
Czech Republic,325000.0
Denmark,3200.0
Estonia,50000.0
Ethiopia,100000.0
Finland,97000.0
France,552600.0
Germany,7605632.0
Greece,327550.0
Hungary,804500.0
Iceland,200.0
India,2087000.0
Indonesia,3500000.0
Iran,200.0
Iraq,500.0
Ireland,200.0
Italy,444290.0
Japan,2927149.5
Kiribati,500.0
Korea,430500.0
Kosovo,1027000.0
Lao ,1250000.0
Latvia,230000.0
Lithuania,350000.0
Luxembourg,2000.0
Macedonia,1027000.0
Malaysia,100000.0
Malta,1500.0
Mexico,100.0
Mongolia,300.0
Montenegro,1027000.0
Myanmar,272000.0
Netherlands,301000.0
New Zealand,11900.0
Norway,9500.0
Papua New Guinea,15000.0
Philippines,807000.0
Poland,5720000.0
Portugal,55000.0
Romania,800000.0
Ruanda,150000.0
Serbia,1027000.0
Singapore,50000.0
Slovakia,65500.0
South Africa,23800.0
Sweden,600.0
Switzerland,100.0
Thailand,7600.0
Turkey,200.0
United Kingdom,450901.0
United States,288001.0
Urundi,150000.0
Viet Nam,1250000.0
Soviet Union,20045724.0
